2026-06-29 16:37:19 INFO     httpx: HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
Generated 50 Claude-assisted search queries.
Running adapter: greenhouse...
2026-06-29 16:37:22 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Cerebras: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/cerebrassystems/jobs?content=true
2026-06-29 16:37:24 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Deliveroo: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/deliveroo/jobs?content=true
2026-06-29 16:37:25 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Starling Bank: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/starlingbank/jobs?content=true
2026-06-29 16:37:26 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Wise: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/wise/jobs?content=true
2026-06-29 16:37:27 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Improbable: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/improbable/jobs?content=true
2026-06-29 16:37:28 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Faculty AI: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/faculty/jobs?content=true
2026-06-29 16:37:29 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Thought Machine: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/thoughtmachine/jobs?content=true
2026-06-29 16:37:31 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Checkout.com: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/checkout/jobs?content=true
2026-06-29 16:37:32 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Multiverse: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/multiverse/jobs?content=true
2026-06-29 16:37:36 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Zilch: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/zilch/jobs?content=true
2026-06-29 16:37:37 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Curve: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/curve/jobs?content=true
2026-06-29 16:37:38 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Cleo: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/cleomoney/jobs?content=true
2026-06-29 16:37:39 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Nested: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/nested/jobs?content=true
2026-06-29 16:37:40 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Penfold: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/penfold/jobs?content=true
2026-06-29 16:37:41 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Zepz: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/zepz/jobs?content=true
2026-06-29 16:37:44 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for OpenAI: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/openai/jobs?content=true
2026-06-29 16:37:46 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Cohere: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/cohere/jobs?content=true
2026-06-29 16:37:47 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Hugging Face: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/huggingface/jobs?content=true
2026-06-29 16:37:49 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Aleph Alpha: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/alephalpha/jobs?content=true
2026-06-29 16:37:52 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Weights and Biases: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/wandb/jobs?content=true
2026-06-29 16:37:55 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Landing AI: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/landingai/jobs?content=true
2026-06-29 16:37:56 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for DataRobot: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/datarobot/jobs?content=true
2026-06-29 16:38:00 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Palantir: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/palantir/jobs?content=true
2026-06-29 16:38:01 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for BenevolentAI: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/benevolentai/jobs?content=true
2026-06-29 16:38:02 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Exscientia: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/exscientia/jobs?content=true
2026-06-29 16:38:03 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Shield AI: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/shieldai/jobs?content=true
2026-06-29 16:38:08 WARNING  job_search.adapters.greenhouse: greenhouse: fetch failed for Accenture: 404 Client Error: Not Found for url: https://boards-api.greenhouse.io/v1/boards/accenture/jobs?content=true
